date,new_case,people_vaccinated
2020-12-20,65418,556208.0
2020-12-21,70458,614117.0
2020-12-23,92159,1008025.0
2020-12-26,91294,1944585.0
2020-12-28,59310,2127143.0
2020-12-30,55322,2794588.0
2021-01-02,83159,4225756.0
2021-01-04,51447,4563260.0
2021-01-05,81772,4836469.0
2021-01-06,94464,5306797.0
2021-01-07,107310,5919418.0
2021-01-08,110355,6688231.0
2021-01-11,68561,8987322.0
2021-01-12,94268,9327138.0
2021-01-13,78779,0
2021-01-14,77531,9690757.0
2021-01-15,115976,10595866.0
2021-01-19,112492,13595803.0
2021-01-20,125366,14270441.0
2021-01-21,143200,15053257.0
2021-01-22,86554,16243093.0
2021-01-23,79265,17390345.0
2021-01-24,85242,18502131.0
2021-01-25,99242,19252279.0
2021-01-26,100856,19902237.0
2021-01-27,96142,20687970.0
2021-01-28,97382,21698606.0
2021-01-29,90898,22858318.0
2021-01-30,67797,24064165.0
2021-01-31,32702,25201143.0
2021-02-01,105111,26023153.0
2021-02-02,81231,26440836.0
2021-02-03,85979,27154956.0
2021-02-04,83056,27905197.0
2021-02-05,76399,28909497.0
2021-02-06,60216,30250964.0
2021-02-07,60844,31579100.0
2021-02-08,69106,32340146.0
2021-02-09,73187,32867213.0
2021-02-10,69264,33783384.0
2021-02-11,67032,34723964.0
2021-02-12,56440,35834855.0
2021-02-13,42489,37056122.0
2021-02-14,48557,38292270.0
2021-02-16,52681,39670551.0
2021-02-17,47188,40268009.0
2021-02-18,54537,41021049.0
2021-02-19,56842,41977401.0
2021-02-20,49925,42809595.0
2021-02-21,35628,43628092.0
2021-02-22,38340,44138118.0
2021-02-23,44746,44544969.0
2021-02-24,46181,45237143.0
2021-02-25,44178,46074392.0
2021-02-26,43946,47184199.0
2021-02-27,37558,48435536.0
2021-02-28,26352,49772180.0
2021-03-01,26924,50732997.0
2021-03-02,29576,51755447.0
2021-03-03,34103,52855579.0
2021-03-04,34951,54035670.0
2021-03-05,34970,55547697.0
2021-03-06,31645,57358849.0
2021-03-07,23572,58873710.0
2021-03-08,27318,60005231.0
2021-03-09,33933,61088527.0
2021-03-10,35083,62451150.0
2021-03-11,33715,64071674.0
2021-03-12,34182,65965305.0
2021-03-13,30281,68884011.0
2021-03-14,22339,69784210.0
2021-03-15,26474,71054445.0
2021-03-16,26619,72135616.0
2021-03-17,31908,73669956.0
2021-03-18,30133,75495716.0
2021-03-19,30657,77230061.0
2021-03-20,27719,79367225.0
2021-03-21,19978,81415769.0
2021-03-22,22172,82772416.0
2021-03-23,27751,83930495.0
2021-03-24,29719,85472166.0
2021-03-25,30575,87343622.0
2021-03-26,30432,89559225.0
2021-03-27,25524,91707729.0
2021-03-28,21629,93631163.0
2021-03-29,23397,95015762.0
2021-03-30,27990,96044046.0
2021-03-31,30645,97593290.0
2021-04-01,32967,99565311.0
2021-04-02,32646,101804762.0
2021-04-03,29422,104213478.0
2021-04-04,23089,106214924.0
2021-04-05,26852,107515428.0
2021-04-06,32449,108301234.0
2021-04-07,36988,109995734.0
2021-04-08,35109,112046611.0
2021-04-09,39791,114436039.0
2021-04-10,32456,117142879.0
2021-04-11,26947,119242902.0
2021-04-12,31475,120848490.0
2021-04-13,34824,122295530.0
2021-04-14,37677,123917385.0
2021-04-15,39962,125822868.0
2021-04-16,37641,127743096.0
2021-04-17,31820,129494179.0
2021-04-18,22708,131247546.0
2021-04-19,33020,132321628.0
2021-04-20,35144,133266995.0
2021-04-21,40678,134445595.0
2021-04-22,40819,135791031.0
2021-04-23,40201,137234889.0
2021-04-24,33492,138644724.0
2021-04-25,28292,139978480.0
2021-04-26,32587,140969663.0
2021-04-27,38431,141751857.0
2021-04-28,38882,142692987.0
2021-04-29,36624,143793565.0
2021-04-30,37920,144894586.0
2021-05-01,31405,146239208.0
2021-05-02,25142,147047012.0
2021-05-03,25508,147517734.0
2021-05-04,30252,147894671.0
2021-05-05,31298,148562891.0
2021-05-06,32010,149462265.0
2021-05-07,30917,150416559.0
2021-05-08,26433,151315505.0
2021-05-09,20027,152116936.0
2021-05-10,21025,152819904.0
2021-05-11,26342,153448316.0
2021-05-12,26841,153986312.0
2021-05-13,28803,154624231.0
2021-05-14,25713,155251852.0
2021-05-15,23315,156217367.0
2021-05-16,18031,157132234.0
2021-05-17,16005,157827208.0
2021-05-18,21001,158365411.0
2021-05-19,22899,159174963.0
2021-05-20,21236,160177820.0
2021-05-21,21111,161278336.0
2021-05-22,16912,162470794.0
2021-05-23,12256,163309414.0
2021-05-24,11930,163907827.0
2021-05-25,16153,164378258.0
2021-05-26,16328,165074907.0
2021-05-27,16641,165718717.0
2021-05-28,15532,166388129.0
2021-05-29,13163,167157043.0
2021-05-30,9655,167733972.0
2021-06-01,9548,168489729.0
2021-06-02,12969,168734435.0
2021-06-03,13352,169090262.0
2021-06-04,13115,169735441.0
2021-06-05,12294,170272150.0
2021-06-06,9800,170833221.0
2021-06-07,6983,171310738.0
2021-06-08,7543,171731584.0
2021-06-09,9948,172054276.0
2021-06-10,10287,172423605.0
2021-06-11,9539,172758350.0
2021-06-12,9010,173391711.0
2021-06-13,7032,173840483.0
2021-06-14,5230,174234573.0
2021-06-15,4126,174674144.0
2021-06-16,4426,175053401.0
2021-06-17,7415,175867860.0
2021-06-18,7240,176290249.0
2021-06-19,7216,176737141.0
2021-06-20,5604,177088290.0
2021-06-21,4522,177342954.0
2021-06-22,4556,177635067.0
2021-06-23,6069,177948892.0
2021-06-24,5863,178331677.0
2021-06-25,5965,178491147.0
2021-06-26,5920,178873816.0
2021-06-27,4952,179261269.0
2021-06-28,3646,179615165.0
2021-06-29,3534,179940202.0
2021-06-30,5122,180674739.0
2021-07-01,5441,181339416.0
2021-07-02,5151,181650678.0
2021-07-03,4364,182109860.0
2021-07-04,4083,182412776.0
2021-07-06,3848,182714064.0
2021-07-07,3433,182896080.0
2021-07-08,5032,183237046.0
2021-07-09,5648,183542871.0
2021-07-10,5678,183836917.0
2021-07-11,5193,184132768.0
2021-07-12,4537,184365333.0
2021-07-13,3468,184543821.0
2021-07-14,3868,184835149.0
2021-07-15,5579,185135757.0
2021-07-16,6004,185424899.0
2021-07-17,6151,185765452.0
2021-07-18,5825,186038501.0
2021-07-19,4620,186317651.0
2021-07-20,3966,186474836.0
2021-07-21,3590,186819440.0
2021-07-22,5477,187216168.0
2021-07-23,7854,187579557.0
2021-07-24,8855,187982826.0
2021-07-25,9209,188472188.0
2021-07-26,7019,188729282.0
2021-07-27,6569,188996475.0
2021-07-28,6724,189494180.0
2021-07-29,10426,189945907.0
2021-07-30,11511,190509183.0
2021-07-31,12598,190982149.0
2021-08-01,12683,191498983.0
2021-08-02,11645,191818585.0
