,1회차 접종 당일 실적,1회차 접종 당일 누계,2회차 접종 당일 실적,2회차 접종 당일 누계
서울,"26,082","3,787,227","23,102","1,381,042"
부산,"10,800","1,408,854","5,697","492,305"
대구,"8,152","890,422","5,430","322,339"
인천,"9,621","1,081,704","5,467","373,539"
광주,"6,163","575,588","3,130","212,246"
대전,"4,600","547,528","2,667","204,182"
울산,"3,468","416,019","1,894","129,855"
세종,984,"114,670",893,"39,600"
경기,"41,937","4,852,933","32,848","1,707,126"
강원,"4,327","694,154","2,699","279,610"
충북,"5,544","668,533","3,365","248,246"
충남,"7,983","891,088","3,593","340,433"
전북,"5,322","819,043","3,549","320,458"
전남,"5,918","892,870","3,248","352,435"
경북,"11,431","1,124,917","4,966","422,069"
경남,"10,044","1,305,969","5,820","478,218"
제주,"2,548","264,733","1,297","96,556"
